Item Number	Name	Summary	Inventory Enforce	Inventory Level	Inventory Minimum Level	Weight	Units	Image URL	Thumbnail URL	Variation #1	Tag	By-Line	Text	Feature #1	Feature #2	Feature #3	Feature #4	Feature #5	Feature #6	Feature #7	Feature #8	Feature #9	Feature #10	Feature #11	Feature #12	Specification #1	Specification #2	Specification #3	Specification #4	Specification #5	Specification #6	Specification #7	Specification #8	Specification #9	Specification #10	Specification #11	Specification #12	Keywords	UPC	ISBN	Related Item #1	Related Item #2	Related Item #3	Related Item #4	Related Item #5	Related Item #6	Delete	Price (Standard Pricing-USD)	Sale Price (Standard Pricing-USD)	Available (Standard Pricing-USD)	On Sale (Standard Pricing-USD)	Featured (Standard Pricing-USD)	Tax Free (Standard Pricing-USD)	Extra Shipping (Standard Pricing-USD)
A	Melaware Dishware - Discontinued	Slanted dish bottoms make placing food on utensils easier	T	0	0	0		/members/270651/uploaded/Mec._Melamine_dishware.jpg		N=Choose item:;C=Small Dish[I=*MC5001];C=Pedestal Cup[P=1.00,I=*MC7001];C=Large Dish[P=4.00,I=*MC6001]		Dishwasher safe !	<b>Melaware Dishware</b> are oval shaped scoop dishes with slanted bottoms that make scooping food on utensils easier. Dishwasher safe. Sandstone or white. (Sorry - no color choice). <br><br> Large dish measures 11 inches long, $12.95.<br> Small dish measures 8 1/2 inches long, $8.95. <br><br> Molded <b>Melamine Cup</b> has a large indentation at its base. The user's thumb and index finger slip easily around the narrow stem of the cup. Helpful for individuals with limited grasp or decreased finger strength. Unique cup design allows for firm grip. Holds 8 fluid oz. Melaware Pedestal Cup $9.95. <br><br> <b>Melamine items</b> are dishwasher safe but should not be used in a microwave.	Raised rims make placing food on utensils easier.												Large dish measures:;11 inches long	Small dish measures:;8 1/2 inches long	Cup holds:;8 fluid oz.	Do not: ;microwave									melamine dishware, melamine dish, melamine plates, melamine plate, scoop bowl, scooper bowl, scoop plate, scooper plate, caregiver products, parkinsons eating, feeding elderly, geriatric eating, feeding handicapped, disabled eating, parkinson's products, care giving, caregiver aids, melaware dishes, for in home care, bedridden			Plates, Plate Guards, and Bowls;L;/site/270651/page/911594	Freedom Drink Holder;P;CFP131	Adult Bandana Bib;P;CAA100	Freedom Divided Plate;P;CFP171			N	8.95	0.00	T	F	F	F	0.00
AAD55006RB	Fleece Lined Hooded Poncho	Fleece lined poncho designed for wheelchair and scooter users.	F	0	0	0		/members/270651/uploaded/fleece-lined-poncho.jpg				Fleece lined poncho designed for wheelchair and scooter users.	The <b>Fleece Lined Hooded Poncho</b> was designed for wheelchair and scooter users. Clean, classic lines - perfect for both men and women. Fleece lined for cozy warmth. Cut shorter in back for comfort when sitting. Ample over-the-knee coverage. Water repellent shell made of 100% nylon Supplex. Completely lined with cozy 100% polyester fleece. 14" zippered front opening for easy on and off.	Fleece lined for cozy warmth.	Cut shorter in back for comfort when sitting.	Water repellent shell made of 100% nylon Supplex.										Fits:;One size fits most.	Approximate measurements:;Front length: 40"; Back length: 25-1/2"; Neck to wrist length: 22".	Laundry:;Machine wash warm, delicate cycle, tumble dry low.										fleece lined hooded poncho, fleece lined hooded poncho for wheelchair users, fleece lined hooded wheelchair poncho, fleece lined hooded poncho, wheelchair poncho, poncho, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, caregiving, bedridden			Wheelchair and Scooter Accessories;L;/site/270651/page/913262	Gel Wraps for Swing Away Wheelchair Footrests;P;MSR406	Catheter Bag Cover;P;AAD71002				N	74.95	0.00	T	F	F	F	0.00
AAD70003	Fleece Walker Hand Grip Covers	Extra thick fleece covered walker hand grip covers.	F	0	0	0		/members/270651/uploaded/walker-grip-wraps.jpg				Extra thick fleece covered walker hand grip covers.	The <b>Fleece Walker Hand Grip Covers</b> are great covers for walker hand grips! Put these on, use them for awhile, and you'll wonder how you ever did without!  <br><br> Soft, thick, sheepskin-like fleece, wraps around the walker hand grips, providing cushioning protection for hands; especially important for sensitive skin. Note: The fleece is made extra thick and plush -- you'll notice the difference right away.  <br><br> The Walker Grip Wraps also have a special cotton lining with "Grip Dots" that help provide a sure grip by preventing the wraps from sliding.  <br><br> May be machine washed and dried.  <br><br> Made of 93% Polyester, 7% Acrylic Sheepskin-like Fleece, exclusive of trim; lining 100% cotton with Grip Dots 	Extra thick fleece covered walker hand grip covers.	"Grip Dots" provide a sure grip by preventing the wraps from sliding.											Size:;6.5" x 6.5"	Sold as:;a pair.											fleece walker hand grip covers, fleece walker hand grip wraps, fleece walker hand grips, for in home care, stroke, elderly, bedridden, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, care giving			Security Pole and Grab Bar;P;AST1100	Walker Holder for Scooters;P;CDCB6214	Walker Accessories;L;/site/270651/page/4136076				N	14.95	0.00	T	F	F	F	0.00
AAD7100	Fleece Wheelchair Armrest Covers	Soft, thick sheepskin like fleece covers that wrap around the wheelchair armrests. 	F	0	0	0		/members/270651/uploaded/wheelchair-fleece-armrest.jpg		N=Armrest Length:;C=Full Length[I=*7];C=Desk Length[I=*8]		Soft, thick sheepskin like fleece covers that wrap around the wheelchair armrests. 	The Fleece Wheelchair Armrest Covers are soft, thick sheepskin like fleece that wrap around the wheelchair armrests, providing cushioning protection; especially important for sensitive skin. Easily attaches to armrest using Velcro-like hook and loop closures.  <br><br> The fleece is made extra thick and plush -- we think you'll really like it!  <br><br> Note: Fits standard width wheelchair armrests (does not fit the extra wide platform type).  <br><br> Made of 93% Polyester, 7% Acrylic. May be machine washed and dried. Available in two sizes: for full length (12" to 15") or desk size (8" to 11") armrests.	Thick sheepskin like fleece that wraps around the wheelchair armrests.	Easily attaches to armrest using Velcro-like hook and loop closures.											Full length:;fits 12" to 15" armrests	Desk size:;fits 8" to 11" armrests											fleece wheelchair armrest covers, fleece armrest cover, fleece wheelchair armrest wrap, wraps, for in home care, stroke, elderly, bedridden, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, care giving			Wheelchair and Scooter Accessories;L;/site/270651/page/913262	Posey Soft Seat and Back;P;CPO6392	Fleece Walker Hand Grip Covers;P;AAD70003				N	17.95	0.00	T	F	F	F	0.00
AAD71002	Privacy Cover :: Catheter Bag Cover	Discreetly conceals a catheter bag.	F	0	0	0		/members/270651/uploaded/privacy-cover.jpg		N=Color:;C=Blue[I=*RB];C=Black[I=*BK]		Discreetly conceals a catheter bag.	The <b>Privacy Cover</b> attaches securely to back of wheelchair or onto bed rail using Velcro-like hook and loop closures to discreetly conceal a catheter bag.  <br><br> Urinary drainage bag hangs inside the Privacy Cover on a polycarbonate support bar; Velcro-like hook and loop strap (inside the Privacy Cover) stabilizes the UD bag.  <br><br> Front modesty panel may be kept open for monitoring urinary output or closed for privacy.  <br><br> Extended zippered opening (around sides and bottom) allows the front of the Privacy Cover to be folded up and out of the way when emptying the UD bag; the Privacy Cover does not have to be removed to drain the UD bag.  <br><br> Note: It's a good idea to remove the polycarbonate support bar before laundering.  <br><br> Due to hygiene purposes, this item is non-returnable.	Catheter bag cover attaches securely to back of wheelchair or onto bed rail using Velcro-like hook and loop closures.	Front modesty panel may be kept open for monitoring urinary output or closed for privacy.	Zippered opening allows the front to be folded up and out of the way when emptying the UD bag.										Size:;12.5 x 15.5 x .75 inches.	Material:;durable, weather resistant pack-cloth.	Color:;Blue or Black.										catheter bag cover, conceals catheter bag, hides catheter bag, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, caregiving, bedridden			Comfort Wipe :: Toilet Wiping Aid;P;AJB5231	Padded Transfer Belt;P;CMT603	Wheelchair and Scooter Accessories;L;/site/270651/page/913262				N	27.95	0.00	T	F	F	F	0.00
AAF174250	MED-E-LERT Electronic Medication Reminder & Dispenser	A medication reminder and automated pill dispenser in one easy to use device.	F	0	0	0		/members/270651/uploaded/med-e-lert.jpg				A medication reminder and automated pill dispenser in one easy to use device.	The <b>MED-E-LERT Electronic Medication Reminder</b>, Organizer & Dispenser is a medication reminder and automated pill dispenser in one easy to use device. The most affordable device of its kind, the Med-E-Lert Automatic Medication Dispenser is ideal for use in both the home and care centers. The Med-E-Lert Automatic Medication Dispenser gives patients, caregivers, and loved ones peace of mind by ensuring that only the prescribed dose of medication is available and patient compliance is achieved.  <br><br> Designed with safety and convenience in mind, the Med-E-Lert Automatic Medication Dispenser features a secured, tamper-proof, locking key system to avoid over-medication. With 28 medication compartments, the Med-E-Lert Automatic Medication Dispenser can be used for medication taken up to 4 times daily. Three different alarm tones and a blinking light alert the patient when medication needs to be taken and will not turn off until the pill dispenser is tilted on its side to dispense the pills. The Med-E-Lert Automatic Medication Dispenser includes three discs that can be inserted to indicate the day of the week and the time of day depending on the number of doses needed daily. Despite its compact size, the Med-E-Lert Automatic Medication Dispenser also features the largest pill compartments of any other pill dispenser.  <br><br> The Med-E-Lert Automatic Medication Dispenser is designed especially for people with complicated daily medical regimes. Medical care facilities can enjoy the savings the Med-E-Lert Automatic Medication Dispenser brings them by reducing the need for personnel to distribute medication. 	Easy to set up.	SIMPLE to use.	Long Duration Buzzer Sounds Continuously Until The Pills Are Removed.	Capacity: ONE Week's Supply Of Pills Up To FOUR Times per Day.	Compartment Size 20% Larger Than Other Automatic Pill Dispensers.	Safe - Lockable With KEY.	Tamper Proof (Unable To Get To Medications Before It Is Time).	Alarm: LOUD SOUND + Blinking Light.	Low battery Alarm - Batteries Included. 				Compartment Size:;Holds Up To 18 Aspirin Size Pills.	Dimensions:;8" diameter by 1.5 " high	Number of Compartments:;28										automated pill dispenser, medication reminder, MED E LERT Electronic Medication Reminder, med e lert, medication organizer, medication dispenser, in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver, aids, products, supplies, care giving, bedridden			Oralflo Pill Swallowing Cup;P;COF100	Medication Reminders;L;/site/270651/page/1837437	Press On One Handed Nail Clipper;P;AMI74140				N	69.95	0.00	T	F	F	F	0.00
AAF174250S	MED-E-LERT Electronic Pill Reminder & Dispenser With Solid Cover	Helps dispense the right pills at the right time.	F	0	0	0		/members/270651/uploaded/MedElertSolid-3.jpg				Helps dispense the right pills at the right time.	The <b>MED-E-LERT Electronic Pill Reminder, Organizer & Dispenser</b> features a secured, tamper-proof, locking key system to avoid over-medication. The most affordable device of its kind, the Med-E-Lert Automatic Pill Dispenser is ideal for use in both the home and care centers. The Med-E-Lert Automatic Pill Dispenser gives patients, caregivers, and loved ones peace of mind by ensuring that only the prescribed dose of medication is available and patient compliance is achieved. <br><br> Designed with safety and convenience in mind, the Med-E-Lert Automatic Pill Dispenser can be used for medication taken up to 4 times daily. Three different alarm tones and a blinking light alert the patient when medication needs to be taken and will not turn off until the pill dispenser is tilted on its side to dispense the pills. The Med-E-Lert Automatic Pill Dispenser includes three discs that can be inserted to indicate the day of the week and the time of day depending on the number of doses needed daily. Despite its compact size, the Med-E-Lert Automatic Pill Dispenser also features the largest pill compartments of any other pill dispenser. <br><br> The Med-E-Lert Automatic Pill Dispenser is designed especially for people with complicated daily medical regimes. Medical care facilities can enjoy the savings the Med-E-Lert Automatic Pill Dispenser brings them by reducing the need for personnel to distribute medication.	Easy to SET-UP.	SIMPLE to use.	Long Duration Buzzer Sounds Continuously Until The Pills Are Removed. 	Safe - Lockable With KEY.	Tamper Proof (Unable To Get To Medications Before It Is Time). 	Low battery Alarm - Batteries Included.							Compartment Size:;Holds Up To 18 Aspirin Size Pills.	Dimensions:;8" diameter by 1.5 " high.	Number of Compartments:;28.	Capacity:;ONE Week's Supply Of Pills Up To FOUR Times per Day. 	Alarm:;LOUD SOUND + Blinking Light. 								med-e-lert electronic pill reminder and dispenser, pill reminder, pill dispenser, medelert, med e lert, medication reminder, medication dispenser, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, caregiving, bedridden			Medication Reminders;L;/site/270651/page/1837437	Wander Alarm with Motion Detector;P;CSG3939	Autodrop Eye Drop Guide;P;AMI208				N	69.95	0.00	T	F	F	F	0.00
AAM137	Spoon and Fork Holders	Comfortable built up handle improves grip	F	0	0	0		/members/270651/uploaded/Utensil_holder_EN37.jpg				Fits most standard spoons and forks	Spoon and Fork Holders slip on most standard spoons and forks with ease. <br><br> Comfortable built up handle improves grip. Removable and portable.  Two holders per packet.<br><br>	Improves grip.	Slip on most spoons and forks with ease.	Comfortable built up handle.																						spoon and fork holders, spoon holder, fork holder, utensil holder, utensil strap, universal holder, universal strap, utensil positioning, caregiver products, parkinsons eating, elderly eating, geriatric eating, handicap eating, handicap utensil, disabled eating, disabled utensil			Eating Utensil Holders;L;/site/270651/page/911595	Soft Curve Grip Utensils;P;AMI74642	Color-Coded Handle Foam;P;AMI320				N	5.95	0.00	T	F	F	F	0.00
AAM200	Bath Kit	Long handle foot brush and toe sponge.	F	0	0	0		/members/371928/uploaded/AAM200bathkit.jpg				Ideal bathing aid!	No more bending over to clean between your toes. Ideal for washing hard-to-reach areas. Foot brush and toe cleaner mounted on an extra long handle. The <b>Bath Kit</b> makes an ideal bathing aid for people with limited bending.  <br><br> Choose from the attached scrub brush or four additional attachments to wash the body easily, without bending or reaching. Use the two small sponges for washing between toes or the two round sponges for washing the back and legs. The attached scrub brush is ideal for washing the bottoms of feet. The long, plastic handle holds the scrub brush and accommodates one screw-on attachment at a time. <br><br> Includes 2 toe sponges and 2 round sponges for a great value. 	Wash the body easily, without bending or reaching.	Includes 2 toe sponges and 2 round sponges.											Length:;22 inches												bath kit, foot brush, bath sponge, scrub sponge, long handle bath sponge, long bath sponge, bathing aids, disability aids, handicap bath sponge, caregiver bathing, caregiving bathing			Caregiver Bathing Aids;L;/site/270651/page/911684	Soapy Soles Elite Foot Cleaner and Foot Massager;P;AMI03	Dress EZ Dressing Aid;P;AEZ200				N	19.95	0.00	T	F	F	F	0.00
ABC213	Benefit Plus Triple Head Toothbrush - Discontinued	Cleans all sides of each tooth with every stroke.	T	0	0	0		/members/270651/uploaded/Benefit_plus_2.jpg				Cleans all sides of each tooth with every stroke.	The <b>Benefit Plus Triple Head Toothbrush</b> is ideal for people unable to brush their own teeth. Benefit Plus comes with a wide, padded easy to hold handle. With a top brush and two side brushes at an optimal 45 degree angle, it cleans all sides of each tooth with every stroke. <br><br> Because it reduces the need to twist the arm or wrist, it is great for people with arthritis, Parkinson's, MS or other similar conditions. It's padded handle protects the sensitive mouth area and is the best brush for use by a caregiver when assisting a person with physical challenges. <br><br> Non returnable if packaging is opened.	The brushes wrap around the teeth, brushing all three sides at once at the proper angle, with the proper pressure. This gets the job done faster, easier and better.	Helps prevent periodontal disease. The outermost bristles are extra soft to massage the gums. The bristles of the side brush are at the correct 45º angle to clean below the gum line. 	The independent heads make it almost impossible to cause damage by brushing too aggressively. 	It is an ideal brush for use by an individual with limited hand, wrist, and/or arm movement. 	It is ideal for brushing another individual’s teeth.																				benefit plus triple head toothbrush, tooth paste, toothbrush, toothbrush for handicapped, toothbrushes, toothpaste, triple head toothbrush, occupational therapy, personal hygiene products, hygiene aids, handicapped toothbrush, therapy supplies, disability aids, handicap floss aid, disabled toothbrush, caregiving, caregiver			Grooming and Hygiene Aids;L;/site/270651/page/937919	Dental Floss Aid;P;CMI201	No Rinse Bathing Wipes;P;CNR300	Body Aligner Pillow;P;CHP2385			N	4.95	4.95	T	F	F	F	0.00
